ME RMSE MAE MPE MAPE path
0.011380738054533983 0.062310270981123954 0.0480986720883698 -0.2522836409861436 1.0765898889365844 AfonsoBezerra
0.005612593056521147 0.0414778563923056 0.034314854589471505 -0.3799189311663432 0.8666371178729008 Araripe
0.018917188477752214 0.02903421717886054 0.02456113692030907 0.1862313880372208 0.27602060111653215 AsaBranca
0.0034064101502683645 0.03514643650814251 0.02824649823076102 -0.5656148836617805 0.9897089312865383 ASII_North
0.05392628934589797 0.08196836841928361 0.06966712999848736 0.6377764820166462 1.1007929712144462 BA01
-0.014422605189336067 0.05614598485210586 0.04225042365805023 -0.39450718675953494 0.6957161398073403 BA02a
0.02289909548932429 0.05073212317877769 0.04303880987929353 0.21200246946369264 0.770356515565371 BA02b
0.012078972856168718 0.04882578395115726 0.04074254503321417 -0.1302784932739325 0.7934105884128901 BA04a
-0.033626057673748655 0.0814432625673423 0.06435942103634681 -1.389020069755712 1.7888469333428516 Babilonia
0.032289399121350454 0.06866887805767624 0.05489244426445058 0.23182144808972072 0.9885130903932019 C4
0.04419647698318874 0.06962759937404601 0.05712095521242547 0.3709777554450011 0.6536983076820668 Caldeirao
-0.024438414339686867 0.027009085123627624 0.024947160840454723 -1.2430176881258403 1.2479858963665675 Caman
0.004745233085858538 0.07427106131391918 0.058689012149753673 -1.6348250063378047 2.4056394211674554 CapaoAlto
0.003424671578417441 0.06104789019737325 0.047484130530677245 -0.5812523640846551 1.6380028256710941 Chacabal2
0.006130613991084248 0.017728500400458425 0.014418741618202757 0.02237911454853167 0.17443862368164834 ChapadaAraripe
0.046175076244670675 0.1302085588137813 0.09117176102427985 -0.9484989671309676 3.348741436912714 Ckani
-0.006122831605493141 0.019538260226203284 0.015165860965732724 -0.1568491195141035 0.2653645698451633 Embuaca
0.003997402562802643 0.055438692331625225 0.048310396837675525 -0.3675226650423908 1.0600586945590895 Esplanada
0.02504385614329022 0.042593537925932484 0.03385741112206045 0.2482906198967599 0.40017594682092356 EsquinaDoVento
-0.0249867452776367 0.06927855729507008 0.054925215754587794 -0.9595445051637724 1.3457795405849848 FolhaLarga
0.04881801169496702 0.07145333092920945 0.06002611670298323 0.3238248541235533 1.107261883559739 G0414
-0.035798707773900804 0.06670126253479683 0.0543841275842883 -1.8348518389860204 2.1114061382711804 Ibipeba
-0.008537674262972935 0.021176705940126047 0.016476285308447344 -0.19204641124251445 0.28707896262200866 Icarai
0.006668458260255401 0.05931898905172026 0.05028564086537894 -0.7865097183521704 1.570662986234475 ItaguacuNorte
0.0344857936272055 0.06245060492938082 0.05187393608579771 0.42548992212294534 0.9468168181896324 Itapora
0.02975727524176547 0.060889987698629584 0.05034026747674871 0.21266089843203825 0.8411842898630866 ItaporaPE
0.08706708390632141 0.09436507712600141 0.08706708390632141 1.1652294592361097 1.1652294592361097 Jasper
0.0339878120842421 0.04286081835229006 0.03598031831570832 0.2480846325252212 0.2686592554442191 LaGuajira
-0.013773599023044559 0.06324107029850119 0.05196875977516682 -2.275885328651202 3.1229796137816432 LaVigia
0.2151707665991316 0.3342662844567138 0.2449356833525306 3.467841438105948 12.579037837621522 Llanos
0.008607500499157263 0.05200103376797087 0.041541562795616493 -0.20237028148160624 1.154326355487898 Marcona
0.10239434975292729 0.14501541351248404 0.12147954397687588 1.0650761681420282 1.6458325207403464 Mterra_Bvista
0.06552170058997682 0.08487607597147934 0.07272293713130393 0.8466713938447041 1.015326329640191 NE00
0.002972880550753481 0.018311020163868152 0.01447293537028141 -0.004278161326870334 0.17158426092162546 NE01a
0.04723385080154789 0.05460210760121915 0.04925626645118565 0.4814861612465484 0.5127070435361766 NE01b
0.05970974545443378 0.06628479679321486 0.059823422876017926 0.6491890226917106 0.650983484931521 NE02a
0.13312676194500309 0.14489611555970364 0.134151814367141 1.424727668127335 1.4469412312093826 NE02b
0.0909984091275005 0.11338164533286565 0.09551045031508452 0.8988025539167925 0.9723802401406537 NE03a
0.1036888385568758 0.11151030330873431 0.10415184151359812 1.3424230027035438 1.3524727171534519 NE03b
0.05347605364632794 0.05946418145132179 0.05430231015782682 0.6762119434054996 0.6927892047089501 NE04a
0.08024748140079106 0.09126992762992797 0.08225591089609488 1.0180749451187374 1.0612386393755255 NE04b
0.006130613991084248 0.017728500400458425 0.014418741618202757 0.02237911454853167 0.17443862368164834 NE05
0.10044221382525159 0.114954953095407 0.10168093250274196 1.4193591471901281 1.4516428764163678 NE06a
0.05932575462193631 0.07136552038448782 0.06207890045289224 0.7120411877621377 0.8144271904404505 NE06b
0.01848386089242584 0.033081030887875854 0.02768407503769424 0.13671050536145762 0.27705232755929843 Omega
0.1039233081733693 0.1329081439262533 0.10884520737024803 1.4842137415878944 2.0199103720138525 Omega_RJ
-0.02634010794596108 0.054695067149662394 0.04618499062117786 -1.6246629738420775 1.994180605120559 Pedernales
-0.014539878926355547 0.030351775208976892 0.025060240068973595 -1.1938133820485741 1.299339388646506 PuelcheSur
-0.0467454682958103 0.0659952019404641 0.054325625061760634 -2.481145165395179 2.6069175638387065 Quadran
-0.03056066547967657 0.043717262219596785 0.03577195972524197 -0.614833215162273 0.6756813999223275 RioDoVentoII
0.05756660157178771 0.0921795567056785 0.07728560168639168 0.15157833000334842 1.2659065893759227 RS01a
0.052497705571880986 0.09847490136009447 0.0823749979275312 -0.2900478706785138 1.6522987446773219 RS02b
0.053604272944491896 0.093019992612808 0.07566465729395895 0.393221521764173 1.2052410839564256 RS03b
0.0811394029291854 0.1671689134423145 0.12135291763153046 -0.10056179915542061 3.9355307577284275 SanPedro
